nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
WELEV00ML2,-1,-1,L2,Tower,ELEV,Elevator M Floor L2,Elevator ML2
WHALL001L2,-1,-1,L2,Tower,HALL,Hallway Connector 1 Floor L2,Hallway W01L2
ASTOR001L1,277,222,L1,Tower,STOR,OR Bed Park,Bed Park
ASTOR00101,94,293,1,Tower,STOR,West Plaza,West Plaza
ASTOR00103,104,147,3,Tower,STOR,Pod B clean equiptment srotsage,Clean pumps 00103
ASTOR00203,109,424,3,Tower,STOR,Pod C clean equiptment srotsage,Clean pumps 00203
ADIRT00103,134,286,3,Tower,DIRT,Soiled equiptment storage,Dirty pumps
APATI00103,98,339,3,Tower,PATI,Patient room pod B 1,Patient 00103
APATI00203,49,361,3,Tower,PATI,Patient room pod B 2,Patient 00203
APATI00303,23,409,3,Tower,PATI,Patient room pod B 3,Patient 00303
APATI00403,23,451,3,Tower,PATI,Patient room pod B 4,Patient 00403
APATI00503,35,495,3,Tower,PATI,Patient room pod B 5,Patient 00503
APATI00603,68,524,3,Tower,PATI,Patient room pod B 6,Patient 00603
APATI00703,111,545,3,Tower,PATI,Patient room pod B 7,Patient 00703
APATI00803,159,539,3,Tower,PATI,Patient room pod B 8,Patient 00803
APATI00903,206,512,3,Tower,PATI,Patient room pod B 9,Patient 00903
APATI01003,227,468,3,Tower,PATI,Patient room pod B 10,Patient 01003
APATI01103,232,104,3,Tower,PATI,Patient room pod C 1,Patient 01103
APATI01203,207,60,3,Tower,PATI,Patient room pod C 2,Patient 01203
APATI01303,159,32,3,Tower,PATI,Patient room pod C 3,Patient 01303
APATI01403,116,27,3,Tower,PATI,Patient room pod C 4,Patient 01403
APATI01503,68,44,3,Tower,PATI,Patient room pod C 5,Patient 01503
APATI01603,43,72,3,Tower,PATI,Patient room pod C 6,Patient 01603
APATI01703,23,117,3,Tower,PATI,Patient room pod C 7,Patient 01703
APATI01803,29,160,3,Tower,PATI,Patient room pod C 8,Patient 01803
APATI01903,62,206,3,Tower,PATI,Patient room pod C 9,Patient 01903
APATI02003,98,226,3,Tower,PATI,Patient room pod C 10,Patient 02003
ASTOR00303,287,172,3,Tower,STOR,Bed recliner storage for Pod A and B,Bed storage 00303
ASTOR00403,275,403,3,Tower,STOR,Bed recliner storage for Pod C and D,Bed storage 00403
